index,name,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
48,Bitter Sweet Symphony,The Verve,1997,5.954433333,78,0.356,0.0335,0.356,0.917,0,9,0.406,-6.006,0.0479,171.176,4,0.518
49,Roxanne,The Police,1978,3.1991,76,0.618,0.0384,0.618,0.748,4.10E-06,0,0.0473,-8.905,0.358,134.114,4,0.663
50,Money,Pink Floyd,1973,6.380566667,72,0.469,0.0241,0.469,0.537,0.00201,9,0.269,-10.421,0.152,124.193,1,0.783
51,Every Breath You Take - Remastered 2003,The Police,1983,4.231433333,3,0.813,0.56,0.813,0.46,0.0105,1,0.0724,-9.78,0.0346,117.387,4,0.729
52,A Day In The Life - Remastered 2009,The Beatles,1967,5.62355,66,0.364,0.29,0.364,0.457,0.000106,4,0.922,-14.162,0.0675,163.219,4,0.175
53,Sweet Emotion,Aerosmith,1975,4.568883333,75,0.38,0.00298,0.38,0.76,0.0294,9,0.104,-10.961,0.0378,99.437,4,0.491
54,Born To Be Wild - Single Version,Steppenwolf,1968,3.548216667,68,0.439,0.262,0.439,0.734,0.333,2,0.244,-12.168,0.097,145.703,4,0.54
55,New Year's Day - Single Edit - Remastered,U2,1983,3.92955,57,0.53,0.0033,0.53,0.783,0.0107,4,0.319,-6.768,0.0311,133.662,4,0.571
56,"Paint It, Black",The Rolling Stones,1966,3.3711,78,0.464,0.0493,0.464,0.795,0.00244,1,0.399,-9.267,0.0926,158.691,4,0.612
57,Black Dog - Remaster,Led Zeppelin,1971,4.9231,72,0.437,0.396,0.437,0.864,0.0314,4,0.242,-7.842,0.0904,81.394,4,0.749
58,Basket Case,Green Day,1994,3.02555,79,0.442,0.00293,0.442,0.943,8.71E-06,3,0.091,-3.205,0.0602,85.064,4,0.781
59,November Rain,Guns N' Roses,1991,8.934433333,80,0.294,0.0163,0.294,0.641,0.22,11,0.112,-9.316,0.0291,79.759,4,0.226
60,Even Flow,Pearl Jam,1991,4.876333333,75,0.394,0.00178,0.394,0.944,4.54E-06,10,0.298,-6.506,0.0761,105.338,4,0.265
61,You Can't Always Get What You Want,The Rolling Stones,1969,7.478666667,67,0.32,0.64,0.32,0.62,6.36E-05,0,0.253,-9.686,0.0594,86.327,4,0.472
62,Money for Nothing,Dire Straits,1985,8.44,62,0.667,0.0491,0.667,0.655,0.000894,2,0.0641,-9.339,0.0367,134.212,4,0.657
63,Nothing Else Matters,Metallica,1991,6.478883333,69,0.558,0.0505,0.558,0.364,5.02E-06,4,0.0753,-11.258,0.0265,142.171,3,0.17
64,Everlong,Foo Fighters,1997,4.175766667,78,0.413,5.99E-05,0.413,0.881,0.000308,11,0.0805,-5.541,0.0367,158.066,4,0.364
65,Angie,The Rolling Stones,1973,4.533333333,73,0.429,0.67,0.429,0.554,0.000152,9,0.105,-6.128,0.0291,136.302,4,0.407
66,Jump - 2015 Remaster,Van Halen,1984,4.02665,79,0.572,0.171,0.572,0.835,0.000376,0,0.0702,-6.219,0.0317,129.994,4,0.796
67,(Don't Fear) The Reaper,Blue Öyster Cult,1976,5.135333333,77,0.333,0.0029,0.333,0.927,0.000208,9,0.297,-8.55,0.0733,141.466,4,0.385
68,Come Together - Remastered 2009,The Beatles,1969,4.332433333,78,0.533,0.0302,0.533,0.376,0.248,9,0.0926,-11.913,0.0393,165.007,4,0.187
69,Jumpin’ Jack Flash - Live,The Rolling Stones,2020,6.601333333,31,0.157,0.00527,0.157,0.977,0.562,4,0.961,-4.198,0.107,141.473,4,0.228
70,Time,Pink Floyd,1973,6.899116667,70,0.358,0.521,0.358,0.48,0.00428,9,0.178,-11.79,0.0849,120.317,4,0.356
71,Should I Stay or Should I Go - Remastered,The Clash,1982,3.149766667,79,0.742,0.079,0.742,0.833,0,2,0.384,-6.463,0.115,113.375,4,0.816
72,Mr. Brightside,The Killers,2004,3.709766667,76,0.356,0.00101,0.356,0.924,0,1,0.0953,-3.74,0.0808,148.017,4,0.232
73,Beautiful Day,U2,2000,4.106666667,64,0.539,0.014,0.539,0.926,0.00136,2,0.36,-6.495,0.0499,136.279,4,0.454
74,House Of The Rising Sun,The Animals,1964,4.521333333,70,0.295,0.000385,0.295,0.584,0.218,9,0.0996,-6.696,0.0345,117.2,3,0.228
75,Lola - Coca Cola Version,The Kinks,1970,4.017333333,70,0.474,0.582,0.474,0.917,0.231,9,0.201,-4.19,0.0395,152.113,4,0.902
76,Loser,Beck,1994,3.916666667,70,0.654,0.0337,0.654,0.611,0.000178,2,0.405,-10.45,0.119,85.387,4,0.786
77,Killing In The Name,Rage Against The Machine,1992,5.226216667,78,0.466,0.0266,0.466,0.833,0,7,0.0327,-4.215,0.304,88.785,4,0.661
78,All My Life,Foo Fighters,2002,4.378883333,1,0.583,0.000231,0.583,0.586,0.000633,5,0.494,-5.683,0.0518,167.798,4,0.622
79,Walk This Way,Aerosmith,1975,3.673333333,75,0.653,0.0114,0.653,0.73,1.03E-05,5,0.0754,-10.613,0.043,108.705,4,0.894
80,Sultans of Swing,Dire Straits,1978,5.84,67,0.73,0.0632,0.73,0.868,0.0661,5,0.318,-7.325,0.0288,148.217,4,0.923
81,We Will Rock You - Remastered,Queen,1977,2.034433333,69,0.693,0.679,0.693,0.497,0,2,0.258,-7.316,0.119,81.308,4,0.473
82,Song 2 - 2012 Remaster,Blur,1997,2.019333333,76,0.674,0.00178,0.674,0.789,0.0071,8,0.0754,-6.903,0.0676,129.804,4,0.918
83,Love Will Tear Us Apart - 2010 Remaster,Joy Division,2010,3.41035,60,0.525,0.000989,0.525,0.902,0.691,2,0.137,-8.662,0.0368,146.83,4,0.907
84,Where The Streets Have No Name - Remastered,U2,1987,5.625083333,66,0.49,0.00976,0.49,0.724,0.0046,2,0.159,-9.581,0.0366,125.812,4,0.292
85,In the End,Linkin Park,2000,3.614666667,84,0.556,0.00958,0.556,0.864,0,3,0.209,-5.87,0.0584,105.143,4,0.4
86,Good Vibrations - Remastered,The Beach Boys,1967,3.650433333,70,0.396,0.326,0.396,0.473,0.000124,10,0.109,-7.67,0.0345,133.449,4,0.385
87,All Right Now,Free,1970,5.510716667,70,0.787,0.221,0.787,0.472,0.000336,2,0.153,-12.824,0.0832,120.059,4,0.824
88,Changes - 2015 Remaster,David Bowie,1971,3.6291,65,0.547,0.505,0.547,0.308,0,0,0.109,-11.75,0.0377,114.719,4,0.41
89,Paradise City,Guns N' Roses,1987,6.771766667,1,0.274,0.0214,0.274,0.949,0.00778,11,0.218,-8.642,0.0896,100.346,4,0.497
90,One (Remastered),Metallica,1988,7.43575,67,0.438,0.000668,0.438,0.687,0.0801,7,0.42,-9.15,0.0619,103.01,3,0.426
91,Hey Joe,Jimi Hendrix,1967,3.502666667,71,0.346,0.00603,0.346,0.768,0.38,9,0.0244,-5.695,0.0377,169.492,4,0.532
92,Sunshine Of Your Love,Cream,2004,4.173333333,71,0.683,0.385,0.683,0.594,8.61E-05,2,0.121,-8.289,0.0347,115.099,4,0.734
93,Give It Away,Red Hot Chili Peppers,1991,4.7151,73,0.666,0.00244,0.666,0.936,0.086,7,0.153,-9.919,0.0476,91.577,4,0.776
94,Take Me Out,Franz Ferdinand,2004,3.950433333,74,0.278,0.000423,0.278,0.676,0.000899,9,0.136,-8.821,0.0371,104.545,4,0.494
95,Sweet Home Alabama,Lynyrd Skynyrd,1974,4.73,82,0.596,0.181,0.596,0.605,0.000331,7,0.0863,-12.145,0.0255,97.798,4,0.886
96,Highway to Hell,AC/DC,1979,3.473333333,84,0.574,0.061,0.574,0.913,0.00158,6,0.156,-4.793,0.133,115.728,4,0.423
97,L.A. Woman,The Doors,1971,7.852666667,67,0.354,0.0817,0.354,0.731,0.00119,2,0.115,-9.178,0.0381,170.64,4,0.698
98,American Idiot,Green Day,2004,2.9391,79,0.38,2.64E-05,0.38,0.988,7.86E-05,1,0.368,-2.042,0.0639,186.113,4,0.769
99,Black Hole Sun,Soundgarden,1994,5.309766667,76,0.35,0.000217,0.35,0.828,0.000161,6,0.0774,-5.373,0.041,105.435,4,0.147
100,Maggie May,Rod Stewart,1971,5.837766667,72,0.605,0.559,0.605,0.574,0.113,2,0.0684,-10.536,0.0377,129.449,4,0.543
101,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987,4.11555,69,0.381,0.0258,0.381,0.894,0,7,0.0251,-8.638,0.037,205.528,4,0.797
102,Once in a Lifetime - 2005 Remaster,Talking Heads,1980,4.331766667,71,0.644,0.181,0.644,0.919,0.134,2,0.622,-6.289,0.0561,117.459,4,0.871
103,Strawberry Fields Forever - Remastered 2009,The Beatles,1967,4.122,70,0.39,0.336,0.39,0.502,0.000138,10,0.0713,-12.277,0.178,97.871,4,0.289
104,Riders on the Storm,The Doors,1971,7.245333333,74,0.549,0.25,0.549,0.722,0.0138,11,0.11,-11.729,0.0283,103.885,4,0.716
105,Thunderstruck,AC/DC,1990,4.881333333,82,0.502,0.000147,0.502,0.89,0.0117,4,0.217,-5.175,0.0364,133.52,4,0.259
106,Wonderwall - Remastered,Oasis,1995,4.3122,40,0.372,0.000453,0.372,0.865,0,2,0.234,-4.918,0.0381,174.53,4,0.478
107,Good Riddance (Time of Your Life),Green Day,1997,2.557766667,75,0.475,0.183,0.475,0.432,0,7,0.161,-7.844,0.0302,94.605,4,0.648
108,The Boys Are Back In Town,Thin Lizzy,1976,4.445333333,74,0.445,0.234,0.445,0.706,0.000252,8,0.205,-9.803,0.0461,80.823,4,0.768
109,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994,3.24755,72,0.215,0.000273,0.215,0.927,0.00661,9,0.126,-7.327,0.0452,170.814,4,0.49
110,Start Me Up - Remastered,The Rolling Stones,1981,3.5511,76,0.631,0.0436,0.631,0.932,0.137,5,0.0918,-4.142,0.0354,122.429,4,0.971
111,Blitzkrieg Bop - 2016 Remaster,Ramones,1976,2.2411,71,0.385,0.000269,0.385,0.783,0.47,9,0.108,-2.533,0.233,176.701,4,0.902
112,Fight For Your Right,Beastie Boys,1986,3.47755,69,0.503,0.00757,0.503,0.858,0.00234,8,0.0803,-6.296,0.0657,133.615,5,0.419
113,The One I Love - Remastered,R.E.M.,1987,3.296666667,64,0.488,0.000395,0.488,0.84,1.21E-06,2,0.346,-4.626,0.0356,127.862,4,0.559
114,Walk On the Wild Side,Lou Reed,1972,4.236216667,75,0.575,0.683,0.575,0.318,0.000202,0,0.0934,-16.729,0.109,104.522,4,0.385
115,Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,2009,3.786883333,0,0.819,0.127,0.819,0.543,0.0784,2,0.0743,-11.705,0.0322,114.981,4,0.596
116,Yellow,Coldplay,2000,4.446216667,84,0.429,0.00239,0.429,0.661,0.000121,11,0.234,-7.227,0.0281,173.372,4,0.285
117,Ramble On - 1990 Remaster,Led Zeppelin,1969,4.388883333,70,0.468,0.072,0.468,0.607,0.000852,9,0.225,-11.367,0.0336,98.429,4,0.886
118,We Are The Champions - Remastered 2011,Queen,1977,2.986666667,64,0.268,0.378,0.268,0.459,0,7,0.119,-6.948,0.0346,64.223,4,0.172
119,Go Your Own Way - 2004 Remaster,Fleetwood Mac,1977,3.726883333,75,0.586,0.0167,0.586,0.941,0.000776,5,0.068,-5.139,0.0375,135.448,4,0.831
120,Numb,Linkin Park,2003,3.0931,82,0.496,0.0046,0.496,0.863,0,9,0.639,-4.153,0.0381,110.018,4,0.243
121,Blue Monday - 2016 Remaster,New Order,2005,7.513333333,69,0.793,0.000726,0.793,0.703,0.88,0,0.075,-9.548,0.0581,130.27,4,0.856
122,While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,2018,3.288433333,31,0.54,0.24,0.54,0.512,0.0181,4,0.587,-9.839,0.0348,113.158,4,0.759
123,I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,2.91955,73,0.535,0.326,0.535,0.716,0,4,0.659,-5.025,0.0431,94.379,4,0.901
124,White Room,Cream,1968,4.972216667,72,0.553,0.191,0.553,0.576,0.00664,0,0.0365,-13.458,0.0304,109.827,4,0.457
125,How You Remind Me,Nickelback,2001,3.730666667,78,0.446,0.00135,0.446,0.764,0,10,0.099,-5.042,0.033,172.094,4,0.543
126,Space Oddity - 2015 Remaster,David Bowie,1969,5.31355,73,0.299,0.0748,0.299,0.443,0.000138,0,0.177,-12.621,0.0346,139.539,4,0.434
127,The Weight - Remastered,The Band,1968,4.574883333,73,0.63,0.373,0.63,0.551,5.75E-05,9,0.103,-9.28,0.0549,143.868,4,0.518
128,Sledgehammer - 2012 Remaster,Peter Gabriel,1986,5.199766667,57,0.641,0.044,0.641,0.682,0,8,0.0394,-7.561,0.0392,96.319,4,0.468
129,Mysterious Ways,U2,1991,4.059766667,61,0.674,0.00156,0.674,0.659,0.00765,8,0.108,-8.049,0.0277,99.768,4,0.697
130,Bring Me To Life,Evanescence,2003,3.93155,80,0.331,0.00721,0.331,0.943,2.06E-06,4,0.242,-3.188,0.0698,94.612,4,0.296
131,You Really Got Me - Mono Mix,The Kinks,1964,2.23755,71,0.573,0.493,0.573,0.939,0,8,0.0994,-6.441,0.0808,137.382,4,0.963
132,Been Caught Stealing,Jane's Addiction,1990,3.578433333,58,0.639,0.00326,0.639,0.929,0.0501,0,0.242,-4.762,0.212,103.758,4,0.688
133,Plush - 2017 Remaster,Stone Temple Pilots,1992,5.232433333,62,0.426,0.00671,0.426,0.94,1.72E-06,7,0.14,-5.279,0.0423,144.49,4,0.466
134,Rock the Casbah - Remastered,The Clash,1982,3.7071,72,0.796,0.287,0.796,0.872,0,9,0.284,-6.722,0.0573,129.894,4,0.866
135,Foxey Lady,Jimi Hendrix,1997,3.304883333,46,0.494,0.0613,0.494,0.838,0.26,4,0.405,-6.028,0.0387,98.019,4,0.558
136,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,13.51795,66,0.266,0.771,0.266,0.294,0.697,7,0.107,-11.938,0.0291,137.941,3,0.0397
137,Livin' On A Prayer,Bon Jovi,1986,4.154883333,2,0.534,0.0768,0.534,0.887,9.93E-05,0,0.325,-3.777,0.0345,122.494,4,0.72
138,Me and Bobby McGee,Janis Joplin,1971,4.522216667,72,0.453,0.302,0.453,0.464,5.96E-05,2,0.152,-10.96,0.0431,93.19,4,0.658
139,Who Are You,The Who,1978,6.360433333,69,0.651,0.262,0.651,0.648,0.0042,9,0.0655,-11.409,0.0501,156.372,4,0.49
140,Brown Sugar - 2009 Mix,The Rolling Stones,1971,3.8111,69,0.633,0.219,0.633,0.934,0.00021,0,0.0592,-3.594,0.0344,128.606,4,0.963
141,Black,Pearl Jam,1991,5.710883333,74,0.36,0.323,0.36,0.684,0,4,0.34,-6.457,0.0308,77.15,4,0.2
142,Lust For Life,Iggy Pop,1977,5.232083333,67,0.383,0.0276,0.383,0.97,0,9,0.0942,-5.638,0.0435,101.603,4,0.62
143,Carry on Wayward Son,Kansas,1976,5.383333333,75,0.482,0.00321,0.482,0.786,8.88E-05,7,0.446,-5.735,0.032,126.755,4,0.793
144,Rock And Roll All Nite,KISS,1975,2.814,75,0.654,0.0468,0.654,0.929,0,1,0.0539,-5.906,0.0998,144.774,4,0.902
145,American Pie,Don McLean,1971,8.614883333,75,0.531,0.699,0.531,0.481,0,4,0.0842,-11.709,0.06,138.45,4,0.491
146,Cocaine,Eric Clapton,1977,3.694,67,0.699,0.0607,0.699,0.502,0.0337,9,0.317,-12.526,0.0278,105.266,4,0.676
147,Runnin' with the Devil - 2015 Remaster,Van Halen,1978,3.582666667,72,0.472,0.148,0.472,0.9,0.000297,8,0.34,-6.406,0.0582,95.826,4,0.42
148,Honky Tonk Women - Live,The Rolling Stones,2020,4.91,35,0.368,0.0137,0.368,0.987,0.00329,7,0.96,-4.482,0.115,120.346,4,0.342
149,Clocks,Coldplay,2002,5.131316667,77,0.577,0.599,0.577,0.749,0.0115,5,0.183,-7.215,0.0279,130.97,4,0.255
150,Best of You,Foo Fighters,2005,4.260433333,76,0.366,0.000769,0.366,0.94,9.42E-05,1,0.188,-5.119,0.0696,130.198,4,0.369
151,Ziggy Stardust - 2012 Remaster,David Bowie,1972,3.240666667,64,0.44,0.048,0.44,0.565,0,7,0.213,-11.657,0.121,161.124,4,0.495
152,By the Way,Red Hot Chili Peppers,2002,3.61555,73,0.451,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,0.107,122.444,4,0.198
153,Paranoid Android,Radiohead,1997,6.45355,67,0.252,0.0377,0.252,0.849,0.00592,5,0.0545,-6.501,0.0581,163.704,4,0.194
154,Personal Jesus - Single Version,Depeche Mode,1998,3.748883333,70,0.673,0.0911,0.673,0.899,0.0172,11,0.0481,-3.528,0.0434,129.885,4,0.793
155,In Bloom - Nevermind Version,Nirvana,1991,4.251333333,65,0.436,3.33E-05,0.436,0.876,0.000104,10,0.205,-4.902,0.0647,157.044,4,0.512
156,Dirty Deeds Done Dirt Cheap,AC/DC,1976,3.86555,74,0.668,0.214,0.668,0.906,0.00245,11,0.135,-4.881,0.17,135.653,4,0.507
157,Karma Police,Radiohead,1997,4.4011,74,0.36,0.0626,0.36,0.505,9.22E-05,7,0.172,-9.129,0.026,74.807,4,0.317
158,Revolution - Remastered 2009,The Beatles,1973,3.42155,66,0.407,0.0734,0.407,0.834,0.00021,6,0.241,-9.224,0.208,121.38,4,0.71
159,Free Fallin',Tom Petty,1989,4.266666667,78,0.623,0.212,0.623,0.449,0,5,0.0613,-13.333,0.0253,84.383,4,0.572
160,Something - Remastered 2009,The Beatles,1969,3.038216667,71,0.396,0.198,0.396,0.338,2.62E-06,0,0.138,-10.872,0.0304,133.522,4,0.377
161,How Soon Is Now? - 2011 Remaster,The Smiths,1984,6.802883333,70,0.398,0.000854,0.398,0.93,0.121,11,0.0874,-6.76,0.0615,190.818,4,0.725
162,A Whiter Shade of Pale - Original Single Version,Procol Harum,1967,4.1491,47,0.249,0.504,0.249,0.66,0.0026,0,0.0891,-6.905,0.0342,149.813,4,0.435
163,Buddy Holly,Various Artists,2020,2.682883333,4,0.52,0.000572,0.52,0.912,0.000378,8,0.0554,-3.118,0.0372,121.206,4,0.821
164,Black Magic Woman - Single Version,Santana,1969,3.274433333,67,0.489,0.676,0.489,0.349,0.0789,2,0.0866,-14.295,0.0323,124.348,4,0.622
165,Boulevard of Broken Dreams,Green Day,2017,4.372216667,75,0.496,0.00552,0.496,0.682,2.94E-05,8,0.0589,-4.095,0.0294,167.06,4,0.474
166,Bang A Gong (Get It On) (Electric Version),T. Rex,2010,4.744716667,44,0.788,0.451,0.788,0.748,0.00408,9,0.104,-6.907,0.0306,121.047,4,0.845
167,Wild Horses - 2009 Mix,The Rolling Stones,1971,5.696216667,72,0.432,0.687,0.432,0.389,0.0107,7,0.0788,-6.517,0.0255,139.506,4,0.158
168,Another One Bites The Dust - Remastered 2011,Queen,1980,3.57755,73,0.933,0.112,0.933,0.528,0.329,5,0.163,-6.472,0.162,109.975,4,0.756
169,Lithium,Nirvana,1991,4.284216667,68,0.678,0.00174,0.678,0.656,0,7,0.0631,-6.41,0.0381,123.207,4,0.485
170,Yesterday - Remastered 2009,The Beatles,1965,2.094433333,77,0.332,0.879,0.332,0.179,0,5,0.0886,-11.83,0.0326,96.529,4,0.315
171,When I Come Around,Green Day,1994,2.966666667,74,0.531,0.0175,0.531,0.909,0,11,0.231,-4.236,0.034,97.546,4,0.814
172,Sex on Fire,Kings of Leon,2008,3.3891,80,0.542,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,0.054,153.398,4,0.374
173,Heart of Gold - 2009 Remaster,Neil Young,1972,3.116883333,73,0.541,0.189,0.541,0.459,0.0274,4,0.099,-10.433,0.0297,171.165,4,0.803
174,Hey Ya! - Radio Mix,OutKast,2003,3.920216667,78,0.727,0.103,0.727,0.974,0.000532,4,0.174,-2.261,0.0664,79.526,4,0.965
175,Superstition - Single Version,Stevie Wonder,2002,4.09155,0,0.643,0.0443,0.643,0.628,0.00613,10,0.0359,-12.075,0.0748,100.392,4,0.894
176,Hells Bells,AC/DC,1980,5.204883333,75,0.389,0.00532,0.389,0.873,0.0055,4,0.273,-4.768,0.0475,106.767,4,0.303
